1.1,17,39343.00
1.3,12,46205.00
1.4,20,60100.00
1.5,14,37731.00
2.0,17,43525.00
2.2,15,39891.00
2.3,17,81300.00
2.9,17,56642.00
3.0,12,60150.00
3.2,20,54445.00
3.2,9,64445.00
3.7,10,57189.00
3.8,20,91728.00
3.9,17,63218.00
4.0,17,55794.00
4.0,12,56957.00
4.1,15,57081.00
4.2,17,59000.00
4.5,11,91111.00
4.9,20,67938.00
5.1,9,66029.00
5.3,15,83088.00
5.9,24,81363.00
6.0,24,11940.00
6.8,17,91738.00
7.1,17,98273.00
7.9,17,101302.00
8.2,20,113812.00
8.7,20,109431.00
9.0,20,105582.00
9.3,24,145582.00
9.5,20,116969.00
9.6,20,112635.00
10.3,24,122391.00
10.5,24,121872.00
10.5,24,151872.00
